"V1","V2"
-84.400621,46.698832
-72.76203,44.480942
-91.191697,47.38712
-151.268624,60.362894
-151.212858,60.368551
-72.634263,44.049565
-87.105253,48.784012
-84.472817,46.624081
-147.7267,64.9003
-91.237228,47.386093
-148.0877,64.7896
-148.0994,64.7848
-91.192,47.385697
-61.135118,46.117618
-79.385061,46.29778
-91.192029,47.380121
-91.196662,47.385509
-116.074196,44.938612
-91.201391,47.387223
-89.290369,48.448284
-84.379455,45.95978
-92.542228,46.693817
-152.473326,57.775341
-79.190661,45.340961
-77.265389,44.503972
-104.617845,50.438733
-147.918432,64.862806
-91.244073,47.38545
-125.588242,64.902908
-64.166132,46.68222
-65.573273,43.490666
-63.58037,44.705021
-87.984996,48.966707
-91.206383,47.385835
-75.866946,45.300704
-73.972523,44.252239
-63.41188,44.697717
-64.691475,46.134378
-91.204219,47.386189
-81.661519,45.263147
-73.972781,44.252178
-86.613281,48.776775
-139.644985,59.559027
-91.822872,47.916538
-63.279277,45.404259
-64.305375,44.298486
-72.886367,44.319862
-68.735973,44.867894
-78.876321,46.298423
-64.150314,45.706695
-115.756284,60.865429
-149.620583,61.236861
-65.196269,44.434551
-64.414108,46.101897
-81.70515,45.233533
-64.118186,46.023956
-149.579042,63.668819
-149.622167,61.237343
-114.261201,48.408874
-71.728592,44.759472
-134.560258,60.109783
-116.823446,49.68794
-95.19172,48.611333
-90.14985,48.938794
-120.837792,49.059227
-149.645834,61.228407
-64.418603,46.094411
-63.937,44.513
-149.914848,61.209062
-81.234361,44.743763
-79.009642,44.632735
-120.896001,47.258666
-149.619918,61.236453
-149.618806,61.235898
-63.153262,46.201089
-67.046786,45.844171
-149.614843,61.233657
-64.912883,46.828366
-64.093042,45.927795
-116.91768,47.07995
-78.896577,45.652998
-75.215484,45.391059
-79.511063,45.818947
-63.422156,44.622886
-68.187928,44.333563
-62.375657,46.291873
-68.226106,44.352614
-64.178895,45.803342
-63.5952,44.610587
-72.815022,44.528039
-114.040771,48.437378
-63.968133,45.988105
-61.370748,46.202879
-64.595887,46.099186
-63.256602,44.729205
-65.195674,44.434078
-71.302018,46.71285
-76.250231,44.770208
-114.122154,48.90433
-63.425897,44.626844
-149.616546,61.234816
-81.705386,45.233382
-72.939975,43.227614
-88.040847,46.649508
-52.732048,47.578262
-86.288711,48.592178
-68.650283,44.029533
-62.561008,44.807125
-148.913427,63.727849
-63.758559,44.663797
-57.92672,49.624913
-76.250579,44.770024
